Beauty_10,000001,000174,000270,dressing room,screaming,waxing,"['unintended', ' wrong estimation']","['unintended', ' wrong estimation']",object,['movable'],['movable'],"'000001': '[519, 38, 854, 242]', '000174': '[599, 0, 913, 261]', '000270': '[438, 172, 987, 497]'"
Beauty_11,000001,000246,000356,kitchen,laughing,operating machinery,"['wrong estimation', ' wrong direction']","['wrong estimation', ' wrong direction']",object,"['movable', ' small', ' soft']","['movable', ' small', ' soft']","'000246': '[297, 122, 589, 328]', '000356': '[284, 50, 614, 301]', '000360': '[257, 85, 614, 314]'"
Beauty_12,000001,000121,000300,street,laughing,walking on high heel,"['unintended', ' unbalanced']","['unintended', ' unbalanced']",object,['rough'],['rough'],"'000001': '[371, 433, 584, 661]', '000121': '[349, 532, 554, 686]', '000300': '[133, 540, 458, 698]'"
Beauty_13,000001,000229,000360,other indoor,laughing,string,"['unskilled', ' wrong estimation']","['unskilled', ' wrong estimation']",object,"['short', ' out of control']","['short', ' out of control']","'000001': '[453, 234, 757, 537]', '000229': '[408, 224, 762, 574]', '000360': '[703, 152, 995, 542]'"
Beauty_14,000001,000361,000690,dressing room,screaming,make up,"['wrong estimation', ' unskilled', ' unintended']","['wrong estimation', ' unskilled', ' unintended']",object,"['small', ' stable']","['small', ' stable']","'000001': '[423, 88, 678, 418]', '000361': '[430, 98, 715, 391]', '000690': '[292, 157, 665, 428]'"
Beauty_15,000001,000101,000286,dressing room,retreat,use beauty equipment ,"['high temperature', ' wrong estimation']","['high temperature', ' wrong estimation']",electric welding,"['electric', ' high temperature']","['electric', ' high temperature']","'000001': '[368, 172, 792, 472]', '000101': '[448, 338, 732, 597]', '000288': '[522, 366, 824, 604]'"
Beauty_16,000001,000099,000239,kitchen,laughing,walking on high heel,"['unskilled', ' unintended', ' unbalanced']","['unskilled', ' unintended', ' unbalanced']",heels,"['big', ' high']","['big', ' high']","'000001': '[502, 408, 725, 636]', '000099': '[524, 386, 856, 706]', '000239': '[487, 378, 673, 572]'"
Beauty_17,000001,000106,000480,stage,retreat,walking on high heel,"['wrong estimation', ' collision']","['wrong estimation', ' collision']",heels,"['movable', ' high', ' stable']","['movable', ' high', ' stable']","'000001': '[274, 408, 507, 540]', '000106': '[378, 425, 609, 587]', '000480': '[418, 418, 703, 564]'"
Beauty_18,000001,000059,000239,shopping mall,retreat,walking on high heel,"['stumble', ' unbalanced', ' unintended']","['stumble', ' unbalanced', ' unintended']",heels,"['unstable', ' slippery']","['unstable', ' slippery']","'000001': '[524, 443, 693, 664]', '000059': '[505, 587, 772, 711]', '000240': '[507, 512, 859, 711]'"
Beauty_32,000001,000146,000296,other indoor,laughing,waxing,"['equipment is not stable', ' no protection', ' too much fuel ', ' too weak', ' wrong direction', ' wrong estimation']","['too weak', ' wrong estimation']",person,"['sitable', ' low', ' flexible', ' movable']","['flexible', ' movable']","'000146': '[278, 0, 995, 711]', '000171': '[271, 0, 834, 713]', '000261': '[374, 0, 963, 711]', '000296': '[562, 0, 997, 315]'"
